DATASET                       	                   SOLVER	|B|	      |V|	      |E|	 it	   time_ms	   init_ms	   base_us	   rank_us	   diff_us	  trans_ms
europe_osm.mtx.el_gz          	    kern_rank_cpu_lib_row	  1	 50912018	108109320	 10	  7561.976	   386.251	     0.000	709606.408	     0.000	     0.000
europe_osm.mtx.el_gz          	    kern_rank_omp_def_row	  1	 50912018	108109320	 10	  1920.934	   188.509	     0.000	168000.870	     0.000	     0.000
europe_osm.mtx.el_gz          	    kern_rank_omp_stp_row	  1	 50912018	108109320	 10	  2122.743	   283.266	     0.000	177263.964	     0.000	     0.000
europe_osm.mtx.el_gz          	    kern_rank_omp_bin_row	  1	 50912018	108109320	 10	  2185.446	   284.958	     0.000	183311.368	     0.000	     0.000
europe_osm.mtx.el_gz          	    kern_rank_cud_def_row	  1	 50912018	108109320	 10	   295.975	    32.132	     0.000	 14499.515	     0.000	    69.965
europe_osm.mtx.el_gz          	    kern_rank_cud_stp_row	  1	 50912018	108109320	 10	   322.093	    38.507	     0.000	 16083.283	     0.000	    67.571
europe_osm.mtx.el_gz          	    kern_rank_cud_wrp_row	  1	 50912018	108109320	 10	   318.391	    38.494	     0.000	 15712.835	     0.000	    67.574
europe_osm.mtx.el_gz          	    kern_rank_cud_dyn_row	  1	 50912018	108109320	 10	   347.952	    38.509	     0.000	 18670.069	     0.000	    67.569
europe_osm.mtx.el_gz          	    kern_rank_cud_lib_row	  1	 50912018	108109320	 10	  2094.419	    39.642	     0.000	191907.379	     0.000	    80.245
europe_osm.mtx.el_gz          	    kern_rank_cpu_lib_col	  1	 50912018	108109320	 10	  7031.763	   385.305	     0.000	656744.993	     0.000	     0.000
europe_osm.mtx.el_gz          	    kern_rank_omp_def_col	  1	 50912018	108109320	 10	  1339.331	   187.487	     0.000	109946.703	     0.000	     0.000
europe_osm.mtx.el_gz          	    kern_rank_omp_stp_col	  1	 50912018	108109320	 10	  1246.910	   280.805	     0.000	 89996.633	     0.000	     0.000
europe_osm.mtx.el_gz          	    kern_rank_omp_bin_col	  1	 50912018	108109320	 10	  1339.430	   282.118	     0.000	 99092.429	     0.000	     0.000
europe_osm.mtx.el_gz          	    kern_rank_cud_def_col	  1	 50912018	108109320	 10	   527.329	    31.724	     0.000	 13388.530	     0.000	   312.635
europe_osm.mtx.el_gz          	    kern_rank_cud_stp_col	  1	 50912018	108109320	 10	   507.096	    38.381	     0.000	  9821.590	     0.000	   315.089
europe_osm.mtx.el_gz          	    kern_rank_cud_wrp_col	  1	 50912018	108109320	 10	   517.830	    38.388	     0.000	 11150.922	     0.000	   312.550
europe_osm.mtx.el_gz          	    kern_rank_cud_dyn_col	  1	 50912018	108109320	 10	   522.451	    38.315	     0.000	 11619.928	     0.000	   312.461
europe_osm.mtx.el_gz          	    kern_rank_cud_lib_col	  1	 50912018	108109320	 10	   537.282	    40.072	     0.000	 12156.851	     0.000	   320.142
hugebubbles-00020.mtx.el_gz   	    kern_rank_cpu_lib_row	  1	 21198119	 63580358	 10	  6334.811	   198.572	     0.000	609567.490	     0.000	     0.000
hugebubbles-00020.mtx.el_gz   	    kern_rank_omp_def_row	  1	 21198119	 63580358	 10	  1584.355	    79.998	     0.000	148074.651	     0.000	     0.000
hugebubbles-00020.mtx.el_gz   	    kern_rank_omp_stp_row	  1	 21198119	 63580358	 10	  1676.948	   119.467	     0.000	152790.460	     0.000	     0.000
hugebubbles-00020.mtx.el_gz   	    kern_rank_omp_bin_row	  1	 21198119	 63580358	 10	  1834.994	   119.207	     0.000	168624.553	     0.000	     0.000
hugebubbles-00020.mtx.el_gz   	    kern_rank_cud_def_row	  1	 21198119	 63580358	 10	   391.132	     8.196	     0.000	 31737.405	     0.000	    34.153
hugebubbles-00020.mtx.el_gz   	    kern_rank_cud_stp_row	  1	 21198119	 63580358	 10	   403.678	     7.785	     0.000	 32388.610	     0.000	    34.135
hugebubbles-00020.mtx.el_gz   	    kern_rank_cud_wrp_row	  1	 21198119	 63580358	 10	   390.442	     7.790	     0.000	 31063.971	     0.000	    34.136
hugebubbles-00020.mtx.el_gz   	    kern_rank_cud_dyn_row	  1	 21198119	 63580358	 10	   393.561	     7.765	     0.000	 31376.077	     0.000	    34.139
hugebubbles-00020.mtx.el_gz   	    kern_rank_cud_lib_row	  1	 21198119	 63580358	 10	  3148.661	    18.552	     0.000	305795.638	     0.000	    34.132
hugebubbles-00020.mtx.el_gz   	    kern_rank_cpu_lib_col	  1	 21198119	 63580358	 10	  5403.975	   196.729	     0.000	516792.675	     0.000	     0.000
hugebubbles-00020.mtx.el_gz   	    kern_rank_omp_def_col	  1	 21198119	 63580358	 10	  1581.514	    83.195	     0.000	147350.830	     0.000	     0.000
hugebubbles-00020.mtx.el_gz   	    kern_rank_omp_stp_col	  1	 21198119	 63580358	 10	   947.516	   117.252	     0.000	 80194.955	     0.000	     0.000
hugebubbles-00020.mtx.el_gz   	    kern_rank_omp_bin_col	  1	 21198119	 63580358	 10	  1023.967	   118.585	     0.000	 87708.610	     0.000	     0.000
hugebubbles-00020.mtx.el_gz   	    kern_rank_cud_def_col	  1	 21198119	 63580358	 10	   508.114	     8.221	     0.000	 31039.643	     0.000	   157.841
hugebubbles-00020.mtx.el_gz   	    kern_rank_cud_stp_col	  1	 21198119	 63580358	 10	   365.534	     7.631	     0.000	 16110.739	     0.000	   158.677
