DATASET                       	                   SOLVER	|B|	      |V|	      |E|	 it	   time_ms	   init_ms	   base_us	   rank_us	   diff_us	  trans_ms
europe_osm.mtx.el_gz          	              csr_cud_lib	  1	 50912018	108109320	 16	  3422.503	     0.000	     0.000	     0.000	     0.000	    15.833
europe_osm.mtx.el_gz          	             bcsr_cud_map	  1	 50912018	108109320	 16	 34480.940	     0.000	     0.000	     0.000	     0.000	   124.979
europe_osm.mtx.el_gz          	             bcsr_cud_stp	  1	 50912018	108109320	 16	 34524.622	     0.000	     0.000	     0.000	     0.000	   125.000
europe_osm.mtx.el_gz          	             bcsr_cud_wrp	  1	 50912018	108109320	 16	   541.923	     0.000	     0.000	     0.000	     0.000	   124.936
europe_osm.mtx.el_gz          	             bcsr_cud_dyn	  1	 50912018	108109320	 16	   589.078	     0.000	     0.000	     0.000	     0.000	   124.910
europe_osm.mtx.el_gz          	             bcsr_cud_mix	  1	 50912018	108109320	 16	  1609.112	    91.876	 28135.321	     0.000	 15527.726	   108.847
europe_osm.mtx.el_gz          	             bcsr_cud_map	  2	 50912018	108109320	 16	 17569.664	     0.000	     0.000	     0.000	     0.000	   109.150
europe_osm.mtx.el_gz          	             bcsr_cud_stp	  2	 50912018	108109320	 16	 17614.774	     0.000	     0.000	     0.000	     0.000	   108.013
europe_osm.mtx.el_gz          	             bcsr_cud_wrp	  2	 50912018	108109320	 16	   604.567	     0.000	     0.000	     0.000	     0.000	   109.130
europe_osm.mtx.el_gz          	             bcsr_cud_dyn	  2	 50912018	108109320	 16	   747.019	     0.000	     0.000	     0.000	     0.000	   109.134
europe_osm.mtx.el_gz          	             bcsr_cud_mix	  2	 50912018	108109320	 16	  1559.197	    76.319	 24342.573	     0.000	 11790.669	    92.353
europe_osm.mtx.el_gz          	             bcsr_cud_map	  4	 50912018	108109320	 16	  9258.894	     0.000	     0.000	     0.000	     0.000	   138.769
europe_osm.mtx.el_gz          	             bcsr_cud_stp	  4	 50912018	108109320	 16	  9262.933	     0.000	     0.000	     0.000	     0.000	   138.755
europe_osm.mtx.el_gz          	             bcsr_cud_wrp	  4	 50912018	108109320	 16	   736.122	     0.000	     0.000	     0.000	     0.000	   138.793
europe_osm.mtx.el_gz          	             bcsr_cud_dyn	  4	 50912018	108109320	 16	  1072.819	     0.000	     0.000	     0.000	     0.000	   138.702
europe_osm.mtx.el_gz          	             bcsr_cud_mix	  4	 50912018	108109320	 16	  1368.630	    42.720	 13831.699	     0.000	  6437.315	   120.570
europe_osm.mtx.el_gz          	             bcsr_cud_map	  8	 50912018	108109320	 16	  5298.517	     0.000	     0.000	     0.000	     0.000	   212.751
europe_osm.mtx.el_gz          	             bcsr_cud_stp	  8	 50912018	108109320	 16	  5193.180	     0.000	     0.000	     0.000	     0.000	   212.799
europe_osm.mtx.el_gz          	             bcsr_cud_wrp	  8	 50912018	108109320	 16	   997.557	     0.000	     0.000	     0.000	     0.000	   212.612
europe_osm.mtx.el_gz          	             bcsr_cud_dyn	  8	 50912018	108109320	 16	  1593.286	     0.000	     0.000	     0.000	     0.000	   212.557
europe_osm.mtx.el_gz          	             bcsr_cud_mix	  8	 50912018	108109320	 16	  1546.666	    26.352	  9094.827	     0.000	  5406.507	   191.379
europe_osm.mtx.el_gz          	             bcsr_cud_map	 16	 50912018	108109320	 16	  3747.155	     0.000	     0.000	     0.000	     0.000	   364.376
europe_osm.mtx.el_gz          	             bcsr_cud_stp	 16	 50912018	108109320	 16	  3479.993	     0.000	     0.000	     0.000	     0.000	   364.547
europe_osm.mtx.el_gz          	             bcsr_cud_wrp	 16	 50912018	108109320	 16	  1599.403	     0.000	     0.000	     0.000	     0.000	   364.460
europe_osm.mtx.el_gz          	             bcsr_cud_dyn	 16	 50912018	108109320	 16	  2508.028	     0.000	     0.000	     0.000	     0.000	   364.412
europe_osm.mtx.el_gz          	             bcsr_cud_mix	 16	 50912018	108109320	 16	  2064.838	    17.392	  6091.644	     0.000	  4449.918	   336.087
europe_osm.mtx.el_gz          	              csc_cud_lib	  1	 50912018	108109320	 16	   517.006	     0.000	     0.000	     0.000	     0.000	    15.825
europe_osm.mtx.el_gz          	             bcsc_cud_map	  1	 50912018	108109320	 16	 34780.162	     0.000	     0.000	     0.000	     0.000	   433.863
europe_osm.mtx.el_gz          	             bcsc_cud_stp	  1	 50912018	108109320	 16	 34807.385	     0.000	     0.000	     0.000	     0.000	   499.086
