DATASET                       	                   SOLVER	|B|	      |V|	      |E|	 it	   time_ms	   init_ms	   base_us	   rank_us	   diff_us	  trans_ms
europe_osm.mtx.el_gz          	             rndpcsr_mpi_def	  1	 50912018	108109320	 16	  3248.200	    15.761	  4746.775	187786.517	  4554.246	    54.884
europe_osm.mtx.el_gz          	             rndpcsr_mpi_stp	  1	 50912018	108109320	 16	  3582.911	    16.217	  4793.099	208544.249	  4553.907	    55.672
europe_osm.mtx.el_gz          	             rndpcsr_mpi_map	  1	 50912018	108109320	 16	  3975.941	    17.432	 23003.088	208037.949	 11352.927	    55.435
europe_osm.mtx.el_gz          	             rndpcsr_mpi_def	  2	 50912018	146757263	 16	 14166.998	    13.937	  9018.093	177865.707	  9510.045	 10983.542
europe_osm.mtx.el_gz          	             rndpcsr_mpi_stp	  2	 50912018	146757263	 16	 13490.692	    15.601	 11186.520	152117.029	 10242.095	 10669.864
europe_osm.mtx.el_gz          	             rndpcsr_mpi_map	  2	 50912018	146757263	 16	 13015.759	    14.278	 25968.917	142828.224	 17231.704	 10000.397
europe_osm.mtx.el_gz          	             rndpcsr_mpi_def	  4	 50912018	177184384	 16	 12620.671	    13.101	  9815.550	121475.639	  9747.135	 10326.889
europe_osm.mtx.el_gz          	             rndpcsr_mpi_stp	  4	 50912018	177184384	 16	 10854.904	    10.162	 10103.085	 91745.582	  6158.532	  9092.227
europe_osm.mtx.el_gz          	             rndpcsr_mpi_map	  4	 50912018	177184384	 16	 10866.187	    10.227	 17466.414	 86253.463	  8383.095	  9037.766
europe_osm.mtx.el_gz          	             rndpcsr_mpi_def	  8	 50912018	195575138	 16	  9085.193	     6.047	 14797.456	 76651.949	 15179.586	  7344.734
europe_osm.mtx.el_gz          	             rndpcsr_mpi_stp	  8	 50912018	195575138	 16	  8079.553	     6.083	 12797.589	 53687.407	 13567.818	  6763.032
europe_osm.mtx.el_gz          	             rndpcsr_mpi_map	  8	 50912018	195575138	 16	  7984.831	     5.908	 21783.531	 51186.031	 15998.973	  6526.597
europe_osm.mtx.el_gz          	             rndpcsr_mpi_def	 16	 50912018	205600476	 16	  5635.102	     4.050	  8503.408	 41809.150	  7316.154	  4684.456
europe_osm.mtx.el_gz          	             rndpcsr_mpi_stp	 16	 50912018	205600476	 16	  4998.109	     4.125	  6147.064	 29036.748	  5540.165	  4314.101
europe_osm.mtx.el_gz          	             rndpcsr_mpi_map	 16	 50912018	205600476	 16	  5393.926	     4.232	 11847.836	 29809.128	  8430.060	  4559.364
europe_osm.mtx.el_gz          	             rndpcsc_mpi_def	  1	 50912018	108109320	 16	  2050.874	    15.851	  4748.157	112955.716	  4549.482	    54.753
europe_osm.mtx.el_gz          	             rndpcsc_mpi_stp	  1	 50912018	108109320	 16	  1986.545	    16.172	  4757.591	108812.043	  4547.717	    55.648
europe_osm.mtx.el_gz          	             rndpcsc_mpi_map	  1	 50912018	108109320	 16	  2390.493	    16.334	 23131.990	108906.602	 11328.772	    55.465
europe_osm.mtx.el_gz          	             rndpcsc_mpi_def	  2	 50912018	146757263	 16	 11561.698	    14.293	  9443.257	 93841.216	  8462.005	  9735.115
europe_osm.mtx.el_gz          	             rndpcsc_mpi_stp	  2	 50912018	146757263	 16	 12446.669	    14.573	  9460.068	119491.801	 10465.674	 10171.374
europe_osm.mtx.el_gz          	             rndpcsc_mpi_map	  2	 50912018	146757263	 16	 12665.200	    14.444	 23954.227	112228.389	 14577.096	 10210.919
europe_osm.mtx.el_gz          	             rndpcsc_mpi_def	  4	 50912018	177184384	 16	  9722.783	    10.871	  5869.988	 53864.937	  5547.054	  8643.509
europe_osm.mtx.el_gz          	             rndpcsc_mpi_stp	  4	 50912018	177184384	 16	 10145.448	    10.571	  5252.233	 79502.669	  4753.248	  8678.337
europe_osm.mtx.el_gz          	             rndpcsc_mpi_map	  4	 50912018	177184384	 16	 10423.153	    10.593	 15568.886	 75402.612	  7842.483	  8807.137
europe_osm.mtx.el_gz          	             rndpcsc_mpi_def	  8	 50912018	195575138	 16	  6913.400	     6.809	 10547.966	 28127.059	  5095.337	  6182.099
europe_osm.mtx.el_gz          	             rndpcsc_mpi_stp	  8	 50912018	195575138	 16	  7666.554	     6.657	  6127.976	 52836.387	  9048.349	  6539.930
europe_osm.mtx.el_gz          	             rndpcsc_mpi_map	  8	 50912018	195575138	 16	  7304.184	     6.187	 13240.376	 50371.560	  7863.729	  6129.833
europe_osm.mtx.el_gz          	             rndpcsc_mpi_def	 16	 50912018	205600476	 16	  4330.414	     3.612	  4235.760	 13856.765	  3892.665	  3950.627
europe_osm.mtx.el_gz          	             rndpcsc_mpi_stp	 16	 50912018	205600476	 16	  4724.589	     3.426	  5806.185	 23663.187	  5001.579	  4145.399
europe_osm.mtx.el_gz          	             rndpcsc_mpi_map	 16	 50912018	205600476	 16	  4733.728	     3.297	  8939.425	 23195.556	  6051.400	  4095.014
soc-LiveJournal1.mtx.el_gz    	             rndpcsr_mpi_def	  1	  4846609	 68475391	 16	  4189.686	     2.219	  2816.648	257287.753	   926.825	     7.933
soc-LiveJournal1.mtx.el_gz    	             rndpcsr_mpi_stp	  1	  4846609	 68475391	 16	  1958.610	     1.694	  2556.167	117477.822	  1707.298	     6.217
