DATASET                       	                   SOLVER	|B|	      |V|	      |E|	 it	   time_ms	   init_ms	   base_us	   rank_us	   diff_us	  trans_ms
erdos_renyi_1M_1.gen.el_gz    	    kern_rank_cud_stp_col	  1	   906515	  1048576	 10	    10.873	     0.769	     0.000	   382.742	     0.000	     4.391
erdos_renyi_1M_1.gen.el_gz    	    kern_rank_cud_wrp_col	  1	   906515	  1048576	 10	    11.015	     0.763	     0.000	   397.331	     0.000	     4.389
erdos_renyi_1M_1.gen.el_gz    	    kern_rank_cud_dyn_col	  1	   906515	  1048576	 10	    11.337	     0.772	     0.000	   428.038	     0.000	     4.398
erdos_renyi_1M_1.gen.el_gz    	    kern_rank_cud_lib_col	  1	   906515	  1048576	 10	    11.187	     0.767	     0.000	   408.997	     0.000	     4.407
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_omp_def_row	  1	  1029357	  2097150	 10	    53.385	     3.108	     0.000	  4855.487	     0.000	     0.000
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_omp_stp_row	  1	  1029357	  2097150	 10	    57.066	     4.354	     0.000	  5032.040	     0.000	     0.000
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_omp_bin_row	  1	  1029357	  2097150	 10	    57.185	     4.288	     0.000	  5050.351	     0.000	     0.000
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_cud_def_row	  1	  1029357	  2097150	 10	    17.064	     0.661	     0.000	  1306.384	     0.000	     1.378
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_cud_stp_row	  1	  1029357	  2097150	 10	    17.753	     0.819	     0.000	  1326.386	     0.000	     1.375
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_cud_wrp_row	  1	  1029357	  2097150	 10	    17.548	     0.782	     0.000	  1309.949	     0.000	     1.376
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_cud_dyn_row	  1	  1029357	  2097150	 10	    18.154	     0.786	     0.000	  1370.488	     0.000	     1.376
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_cud_lib_row	  1	  1029357	  2097150	 10	   191.615	     0.799	     0.000	 18685.984	     0.000	     1.376
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_omp_def_col	  1	  1029357	  2097150	 10	    46.788	     3.129	     0.000	  4194.103	     0.000	     0.000
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_omp_stp_col	  1	  1029357	  2097150	 10	    26.067	     4.475	     0.000	  1920.109	     0.000	     0.000
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_omp_bin_col	  1	  1029357	  2097150	 10	    26.417	     4.668	     0.000	  1935.193	     0.000	     0.000
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_cud_def_col	  1	  1029357	  2097150	 10	    26.067	     0.662	     0.000	  1686.029	     0.000	     6.390
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_cud_stp_col	  1	  1029357	  2097150	 10	    17.125	     0.786	     0.000	   751.957	     0.000	     6.380
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_cud_wrp_col	  1	  1029357	  2097150	 10	    16.626	     0.784	     0.000	   729.213	     0.000	     6.108
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_cud_dyn_col	  1	  1029357	  2097150	 10	    17.293	     0.781	     0.000	   768.096	     0.000	     6.391
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_cud_lib_col	  1	  1029357	  2097150	 10	    17.803	     0.802	     0.000	   792.088	     0.000	     6.381
erdos_renyi_1M_32.gen.el_gz   	    kern_rank_omp_def_row	  1	  1048576	 33552633	 10	   678.616	     3.242	     0.000	 67357.262	     0.000	     0.000
erdos_renyi_1M_32.gen.el_gz   	    kern_rank_omp_stp_row	  1	  1048576	 33552633	 10	   688.696	     4.919	     0.000	 68131.867	     0.000	     0.000
erdos_renyi_1M_32.gen.el_gz   	    kern_rank_omp_bin_row	  1	  1048576	 33552633	 10	   689.183	     4.916	     0.000	 68181.279	     0.000	     0.000
erdos_renyi_1M_32.gen.el_gz   	    kern_rank_cud_def_row	  1	  1048576	 33552633	 10	   191.101	     0.786	     0.000	 16888.215	     0.000	    11.505
erdos_renyi_1M_32.gen.el_gz   	    kern_rank_cud_stp_row	  1	  1048576	 33552633	 10	   197.503	     0.914	     0.000	 17481.661	     0.000	    11.503
erdos_renyi_1M_32.gen.el_gz   	    kern_rank_cud_wrp_row	  1	  1048576	 33552633	 10	   219.148	     0.912	     0.000	 19647.326	     0.000	    11.501
erdos_renyi_1M_32.gen.el_gz   	    kern_rank_cud_dyn_row	  1	  1048576	 33552633	 10	   235.566	     0.908	     0.000	 21288.485	     0.000	    11.504
erdos_renyi_1M_32.gen.el_gz   	    kern_rank_cud_lib_row	  1	  1048576	 33552633	 10	  2919.681	     1.514	     0.000	288801.350	     0.000	    11.505
erdos_renyi_1M_32.gen.el_gz   	    kern_rank_omp_def_col	  1	  1048576	 33552633	 10	   672.036	     3.265	     0.000	 66695.889	     0.000	     0.000
erdos_renyi_1M_32.gen.el_gz   	    kern_rank_omp_stp_col	  1	  1048576	 33552633	 10	   215.703	     4.953	     0.000	 20829.112	     0.000	     0.000
erdos_renyi_1M_32.gen.el_gz   	    kern_rank_omp_bin_col	  1	  1048576	 33552633	 10	   215.681	     4.907	     0.000	 20831.800	     0.000	     0.000
erdos_renyi_1M_32.gen.el_gz   	    kern_rank_cud_def_col	  1	  1048576	 33552633	 10	   256.971	     0.848	     0.000	 19341.802	     0.000	    52.361
erdos_renyi_1M_32.gen.el_gz   	    kern_rank_cud_stp_col	  1	  1048576	 33552633	 10	   170.551	     0.970	     0.000	 10411.079	     0.000	    54.787
erdos_renyi_1M_32.gen.el_gz   	    kern_rank_cud_wrp_col	  1	  1048576	 33552633	 10	   150.647	     0.967	     0.000	  8611.621	     0.000	    52.882
