DATASET                       	                   SOLVER	|B|	      |V|	      |E|	 it	   time_ms	   init_ms	   base_us	   rank_us	   diff_us	  trans_ms
erdos_renyi_1M_128.gen.el_gz  	    kern_rank_cpu_lib_col	  1	  1048576	134213674	 10	  6798.580	   136.484	     0.000	666001.290	     0.000	     0.000
erdos_renyi_1M_128.gen.el_gz  	    kern_rank_omp_stp_col	  1	  1048576	134213674	 10	   542.266	     3.736	     0.000	 53742.309	     0.000	     0.000
erdos_renyi_1M_128.gen.el_gz  	    kern_rank_omp_bin_col	  1	  1048576	134213674	 10	   541.761	     3.559	     0.000	 53709.996	     0.000	     0.000
erdos_renyi_1M_128.gen.el_gz  	    kern_rank_cud_stp_col	  1	  1048576	134213674	 10	   629.332	    16.143	     0.000	 54911.470	     0.000	    43.893
erdos_renyi_1M_128.gen.el_gz  	    kern_rank_cud_wrp_col	  1	  1048576	134213674	 10	   338.326	    16.153	     0.000	 25812.101	     0.000	    43.888
erdos_renyi_1M_128.gen.el_gz  	    kern_rank_cud_dyn_col	  1	  1048576	134213674	 10	   332.584	    16.148	     0.000	 25238.208	     0.000	    43.887
erdos_renyi_1M_128.gen.el_gz  	    kern_rank_cud_lib_col	  1	  1048576	134213674	 10	   434.898	    30.281	     0.000	 32126.677	     0.000	    62.869
erdos_renyi_1M_16.gen.el_gz   	    kern_rank_cpu_lib_col	  1	  1048576	 16777198	 10	   861.441	    18.856	     0.000	 84165.021	     0.000	     0.000
erdos_renyi_1M_16.gen.el_gz   	    kern_rank_omp_stp_col	  1	  1048576	 16777198	 10	    79.828	     3.575	     0.000	  7524.866	     0.000	     0.000
erdos_renyi_1M_16.gen.el_gz   	    kern_rank_omp_bin_col	  1	  1048576	 16777198	 10	    80.133	     3.768	     0.000	  7535.224	     0.000	     0.000
erdos_renyi_1M_16.gen.el_gz   	    kern_rank_cud_stp_col	  1	  1048576	 16777198	 10	    60.688	     0.838	     0.000	  4770.368	     0.000	     6.114
erdos_renyi_1M_16.gen.el_gz   	    kern_rank_cud_wrp_col	  1	  1048576	 16777198	 10	    57.408	     0.834	     0.000	  4442.541	     0.000	     6.113
erdos_renyi_1M_16.gen.el_gz   	    kern_rank_cud_dyn_col	  1	  1048576	 16777198	 10	    53.695	     0.832	     0.000	  4070.710	     0.000	     6.114
erdos_renyi_1M_16.gen.el_gz   	    kern_rank_cud_lib_col	  1	  1048576	 16777198	 10	    66.622	     1.119	     0.000	  4936.738	     0.000	     6.113
erdos_renyi_1M_1.gen.el_gz    	    kern_rank_cpu_lib_col	  1	   906515	  1048576	 10	    75.176	     2.692	     0.000	  7173.654	     0.000	     0.000
erdos_renyi_1M_1.gen.el_gz    	    kern_rank_omp_stp_col	  1	   906515	  1048576	 10	    21.339	     3.114	     0.000	  1726.061	     0.000	     0.000
erdos_renyi_1M_1.gen.el_gz    	    kern_rank_omp_bin_col	  1	   906515	  1048576	 10	    17.556	     3.089	     0.000	  1350.527	     0.000	     0.000
erdos_renyi_1M_1.gen.el_gz    	    kern_rank_cud_stp_col	  1	   906515	  1048576	 10	     7.430	     0.771	     0.000	   381.790	     0.000	     0.962
erdos_renyi_1M_1.gen.el_gz    	    kern_rank_cud_wrp_col	  1	   906515	  1048576	 10	     7.602	     0.767	     0.000	   399.254	     0.000	     0.964
erdos_renyi_1M_1.gen.el_gz    	    kern_rank_cud_dyn_col	  1	   906515	  1048576	 10	     7.891	     0.767	     0.000	   427.136	     0.000	     0.963
erdos_renyi_1M_1.gen.el_gz    	    kern_rank_cud_lib_col	  1	   906515	  1048576	 10	     7.762	     0.770	     0.000	   410.616	     0.000	     0.962
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_cpu_lib_col	  1	  1029357	  2097150	 10	   119.034	     3.795	     0.000	 11432.185	     0.000	     0.000
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_omp_stp_col	  1	  1029357	  2097150	 10	    26.465	     3.658	     0.000	  2158.951	     0.000	     0.000
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_omp_bin_col	  1	  1029357	  2097150	 10	    22.125	     3.760	     0.000	  1715.823	     0.000	     0.000
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_cud_stp_col	  1	  1029357	  2097150	 10	    12.040	     0.784	     0.000	   756.533	     0.000	     1.380
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_cud_wrp_col	  1	  1029357	  2097150	 10	    11.778	     0.782	     0.000	   730.122	     0.000	     1.379
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_cud_dyn_col	  1	  1029357	  2097150	 10	    12.187	     0.775	     0.000	   770.562	     0.000	     1.380
erdos_renyi_1M_2.gen.el_gz    	    kern_rank_cud_lib_col	  1	  1029357	  2097150	 10	    12.634	     0.801	     0.000	   786.027	     0.000	     1.379
erdos_renyi_1M_32.gen.el_gz   	    kern_rank_cpu_lib_col	  1	  1048576	 33552633	 10	  1765.605	    35.529	     0.000	172902.322	     0.000	     0.000
erdos_renyi_1M_32.gen.el_gz   	    kern_rank_omp_stp_col	  1	  1048576	 33552633	 10	   147.149	     3.501	     0.000	 14263.437	     0.000	     0.000
